,carat,cut,color,clarity,depth,table,price,x,y,z
5464,1.06,Premium,E,VS2,62.3,58.0,6838,6.52,6.49,4.05
5465,0.4,Premium,F,SI1,61.7,62.0,920,4.76,4.71,2.92
5466,0.9,Good,E,SI2,61.3,61.0,3895,6.13,6.17,3.77
5467,0.58,Ideal,E,VS2,62.3,54.0,1683,5.39,5.43,3.37
5468,0.52,Premium,F,SI2,62.7,57.0,1073,5.11,5.07,3.19
5469,0.55,Very Good,E,SI1,63.2,58.0,1381,5.21,5.23,3.3
5470,0.42,Ideal,E,VVS2,61.3,56.0,1273,4.85,4.81,2.96
5471,2.01,Very Good,J,SI1,59.3,62.0,12257,8.15,8.2,4.85
5472,0.72,Premium,D,VVS2,60.0,57.0,3459,5.92,5.84,3.53
5473,0.81,Ideal,E,VS2,61.5,57.0,3975,6.0,6.06,3.71
5474,2.2,Premium,H,SI2,61.5,58.0,12747,8.44,8.38,5.18
5475,0.82,Very Good,J,SI2,62.0,58.0,2175,5.93,5.98,3.69
5476,0.32,Premium,G,VVS2,60.8,59.0,730,4.41,4.44,2.69
5477,0.36,Very Good,G,VVS2,61.7,56.0,753,4.56,4.58,2.82
5478,0.26,Very Good,F,VVS1,61.3,58.0,562,4.13,4.16,2.54
5479,0.57,Ideal,I,VVS1,61.7,56.0,1608,5.31,5.35,3.29
5480,2.5,Fair,H,SI2,64.9,58.0,13278,8.46,8.43,5.48
5481,2.07,Ideal,F,SI2,61.5,55.0,18344,8.23,8.28,5.08
5482,0.72,Ideal,H,VVS1,62.2,56.0,2946,5.72,5.75,3.57
5483,1.04,Premium,H,SI1,61.0,58.0,4999,6.54,6.6,4.01
5484,1.03,Ideal,H,SI1,62.2,56.0,5005,6.45,6.51,4.03
5485,1.53,Ideal,G,VS1,60.5,57.0,16311,7.42,7.52,4.51
5486,0.5,Premium,E,VS2,62.6,58.0,1676,5.12,5.07,3.19
5487,0.42,Premium,E,SI2,61.8,61.0,778,4.84,4.8,2.98
5488,0.5,Fair,F,I1,68.3,58.0,627,4.91,4.78,3.32
5489,0.58,Premium,E,SI1,62.7,58.0,1641,5.33,5.32,3.34
5490,0.51,Very Good,E,SI2,60.3,56.0,1098,5.19,5.22,3.14
5491,1.03,Ideal,G,SI2,62.3,59.0,4928,6.44,6.46,4.02
5492,0.3,Ideal,E,VVS1,61.8,56.0,895,4.3,4.31,2.66
5493,0.73,Ideal,F,SI2,62.1,56.0,2712,5.8,5.76,3.59
5494,0.6,Very Good,G,VVS1,60.0,58.0,2485,5.53,5.43,3.29
5495,0.9,Premium,G,VS2,61.3,59.0,4194,6.21,6.15,3.79
5496,0.4,Premium,G,VVS1,62.3,58.0,1123,4.66,4.72,2.92
5497,0.56,Ideal,F,VS1,62.1,56.0,2097,5.32,5.28,3.29
5498,0.31,Ideal,H,VS1,62.0,54.0,698,4.39,4.35,2.71
5499,0.91,Ideal,F,SI2,62.2,56.0,3812,6.14,6.17,3.83
5500,0.5,Ideal,F,SI1,62.0,55.0,1304,5.08,5.12,3.16
5501,0.74,Ideal,G,SI1,61.3,57.0,3130,5.81,5.83,3.57
5502,0.3,Ideal,H,VVS1,62.3,57.0,650,4.25,4.28,2.65
5503,1.51,Premium,E,I1,59.0,62.0,6494,7.41,7.36,4.36
5504,1.02,Ideal,J,SI2,61.6,55.0,2611,6.49,6.43,3.98
5505,0.47,Very Good,F,VVS2,60.9,59.0,1418,4.99,5.03,3.05
5506,0.55,Ideal,G,VS2,61.2,56.8,1604,5.28,5.31,3.24
5507,0.3,Ideal,E,VVS2,61.9,55.0,766,4.3,4.33,2.67
5508,0.38,Premium,I,VS2,62.5,58.0,633,4.58,4.61,2.87
5509,1.0,Very Good,D,SI2,63.4,58.0,3304,6.33,6.3,4.01
5510,0.4,Premium,F,SI1,62.6,59.0,737,4.68,4.74,2.95
5511,0.9,Good,G,SI2,64.1,56.0,3246,6.12,6.08,3.91
5512,2.51,Premium,I,SI2,62.3,57.0,18255,8.76,8.69,5.44
5513,0.4,Good,J,VS2,64.0,57.0,591,4.67,4.7,3.0
5514,0.34,Ideal,F,IF,60.7,57.0,1148,4.53,4.5,2.74
5515,0.38,Very Good,E,SI2,62.5,61.0,590,4.59,4.63,2.88
5516,0.52,Ideal,G,VS1,62.7,56.0,1815,5.16,5.14,3.23
5517,0.43,Ideal,D,VVS1,61.9,54.0,1754,4.83,4.87,3.0
5518,0.9,Premium,F,SI1,59.9,59.0,4232,6.26,6.29,3.76
5519,1.29,Premium,J,VVS2,62.6,59.0,6356,6.98,6.91,4.35
5520,1.35,Good,I,VS2,59.2,65.0,5610,7.18,7.13,4.23
5521,1.11,Ideal,G,SI1,62.0,57.0,5127,6.69,6.61,4.12
5522,1.08,Premium,G,VS1,62.7,56.0,6982,6.55,6.52,4.1
5523,0.53,Ideal,F,VVS2,62.3,56.0,2045,5.24,5.2,3.25
5524,0.3,Good,F,SI1,63.6,55.0,641,4.33,4.28,2.74
5525,0.9,Ideal,E,VVS2,62.8,54.0,7286,6.11,6.21,3.87
5526,0.44,Premium,F,SI1,60.9,58.0,1023,4.96,4.92,3.01
5527,0.61,Ideal,I,VS2,62.0,54.0,1380,5.44,5.49,3.39
5528,0.71,Premium,H,SI1,62.5,60.0,2207,5.75,5.68,3.57
5529,0.64,Ideal,E,SI1,62.7,57.0,1859,5.54,5.47,3.45
5530,0.3,Ideal,F,SI1,61.4,55.0,550,4.31,4.34,2.65
5531,0.37,Ideal,F,SI1,62.4,54.0,616,4.6,4.63,2.88
5532,1.01,Very Good,F,VS1,62.9,58.0,7455,6.29,6.31,3.96
5533,0.23,Very Good,F,VVS2,61.2,55.0,505,3.97,4.01,2.44
5534,0.33,Ideal,G,SI1,61.6,56.0,498,4.43,4.46,2.74
5535,0.51,Premium,D,VS1,60.0,58.0,2203,5.19,5.14,3.1
5536,0.31,Ideal,G,VVS1,62.5,57.0,1046,4.36,4.31,2.71
5537,2.0,Very Good,J,SI1,60.8,58.0,12768,7.99,8.07,4.88
5538,0.59,Ideal,G,VVS2,62.2,56.0,2070,5.4,5.37,3.35
5539,1.04,Premium,E,SI2,59.2,58.0,4566,6.7,6.64,3.95
5540,0.31,Good,G,VS2,57.6,62.0,507,4.46,4.5,2.58
5541,1.03,Good,D,SI1,57.7,62.0,5526,6.63,6.65,3.83
5542,0.46,Premium,D,VVS1,60.0,59.0,1947,5.04,5.0,3.01
5543,0.7,Premium,G,VVS1,62.0,61.0,2932,5.71,5.62,3.51
5544,0.38,Ideal,E,VVS2,62.1,54.5,1073,4.62,4.66,2.88
5545,0.4,Very Good,E,SI1,59.8,61.0,684,4.76,4.81,2.86
5546,0.5,Ideal,G,VVS2,61.4,57.0,1838,5.1,5.13,3.14
5547,0.52,Ideal,D,VS2,62.2,56.0,1822,5.13,5.16,3.2
5548,0.9,Very Good,H,VS1,62.7,57.0,4136,6.14,6.18,3.86
5549,2.01,Very Good,J,SI2,63.3,56.0,10490,7.86,7.96,5.01
5550,1.02,Very Good,E,I1,60.6,63.0,3141,6.46,6.52,3.93
5551,1.0,Fair,F,SI1,61.3,62.0,5040,6.45,6.37,3.93
5552,1.55,Ideal,I,VS1,61.2,55.0,10286,7.49,7.47,4.58
5553,0.74,Premium,G,SI1,58.3,58.0,2131,5.97,5.93,3.47
5554,0.35,Very Good,H,VS1,62.6,58.0,614,4.49,4.52,2.82
5555,2.07,Very Good,I,SI2,63.1,57.0,15245,8.2,8.1,5.14
5556,0.7,Ideal,F,VS1,61.6,55.0,3399,5.68,5.71,3.51
5557,0.76,Premium,F,SI1,62.7,58.0,2631,5.83,5.78,3.64
5558,0.3,Very Good,E,VS2,62.8,56.0,658,4.28,4.32,2.7
5559,1.08,Very Good,E,SI2,60.2,58.0,4656,6.61,6.68,4.0
5560,0.32,Ideal,D,VS2,62.1,54.0,972,4.46,4.4,2.75
5561,0.38,Premium,F,VS1,60.9,58.0,998,4.71,4.68,2.86
5562,0.5,Ideal,D,VS2,61.9,59.0,1712,5.07,5.1,3.15
5563,0.4,Ideal,F,SI2,62.0,57.0,597,4.7,4.72,2.92
5564,0.61,Ideal,E,VS2,61.9,53.0,2248,5.45,5.5,3.39
5565,0.58,Ideal,G,VVS1,61.5,55.0,2772,5.39,5.44,3.33
5566,1.26,Very Good,F,VS2,61.4,59.0,9071,6.86,6.96,4.24
5567,0.74,Ideal,G,VS1,61.2,56.0,3635,5.83,5.86,3.58
5568,0.43,Ideal,F,VVS2,61.9,56.0,1169,4.82,4.84,2.99
5569,0.3,Premium,E,SI1,60.6,58.0,675,4.34,4.3,2.62
5570,1.17,Premium,J,I1,60.2,61.0,2825,6.9,6.83,4.13
5571,0.31,Premium,G,VS1,61.8,59.0,625,4.32,4.35,2.68
5572,1.03,Ideal,G,VS1,61.2,57.0,7391,6.5,6.54,3.99
5573,0.24,Very Good,F,VS1,59.3,57.0,393,4.07,4.12,2.43
5574,0.7,Ideal,D,SI1,61.4,57.0,2699,5.68,5.72,3.5
5575,1.01,Premium,F,VS2,61.2,57.5,7277,6.43,6.45,3.94
5576,0.57,Ideal,F,VS1,61.9,56.0,1949,5.3,5.39,3.31
5577,0.93,Premium,D,SI2,62.0,56.0,4692,6.27,6.22,3.87
5578,1.05,Premium,H,VS2,62.7,59.0,5468,6.49,6.43,4.05
5579,0.31,Good,D,SI1,63.7,54.0,732,4.35,4.31,2.76
5580,0.73,Premium,G,VS1,63.0,57.0,2683,5.75,5.67,3.6
5581,1.24,Ideal,G,VS1,61.1,57.0,8449,6.98,6.91,4.24
5582,1.53,Ideal,I,SI2,63.7,58.0,8062,7.31,7.27,4.64
5583,0.51,Premium,F,VVS2,62.3,58.0,2056,5.1,5.08,3.17
5584,0.5,Ideal,E,VS2,61.4,57.0,1624,5.08,5.11,3.13
5585,0.93,Very Good,I,VS1,62.6,59.0,4033,6.17,6.2,3.87
5586,1.24,Premium,D,SI1,62.4,59.0,7351,6.82,6.86,4.27
5587,0.24,Premium,H,VVS1,60.8,59.0,432,4.0,4.02,2.44
5588,0.4,Ideal,I,SI1,61.8,55.0,573,4.74,4.78,2.94
5589,0.5,Premium,D,VS2,61.2,60.0,1845,5.12,5.08,3.12
5590,2.04,Premium,J,VS2,63.0,58.0,13734,8.02,7.99,5.04
5591,0.71,Ideal,E,SI1,61.3,57.0,2704,5.81,5.78,3.55
5592,0.5,Ideal,H,SI1,61.7,58.0,1035,5.07,5.11,3.14
5593,0.31,Ideal,E,VS2,61.8,54.0,872,4.37,4.34,2.69
5594,1.06,Premium,H,VS2,60.8,59.0,5205,6.55,6.58,3.99
5595,0.72,Good,F,VS2,61.1,60.0,2705,5.72,5.76,3.51
5596,0.73,Ideal,G,SI1,60.7,56.0,2659,5.89,5.81,3.55
5597,1.04,Premium,G,VS2,62.2,58.0,6122,6.49,6.4,4.01
5598,0.32,Ideal,F,VVS1,61.1,56.0,827,4.42,4.45,2.71
5599,1.61,Very Good,H,VS2,59.4,58.0,11627,7.64,7.74,4.57
5600,0.31,Ideal,F,SI1,61.7,55.0,490,4.35,4.37,2.69
5601,0.28,Ideal,E,VVS2,62.1,56.0,828,4.21,4.19,2.61
5602,0.57,Ideal,E,VS1,61.6,56.9,2030,5.29,5.36,3.28
5603,1.66,Ideal,H,VS2,60.1,59.0,12244,7.67,7.64,4.6
5604,0.7,Good,D,SI1,62.6,60.0,2681,5.57,5.61,3.5
5605,0.31,Ideal,D,SI1,61.5,56.0,732,4.35,4.33,2.67
5606,2.1,Ideal,I,SI1,61.7,55.0,13182,8.21,8.13,5.04
5607,0.9,Very Good,G,SI2,62.1,58.0,3303,6.08,6.13,3.79
5608,0.82,Ideal,F,SI2,61.7,53.0,2867,6.12,6.0,3.74
5609,1.07,Ideal,H,SI1,62.1,56.0,5498,6.53,6.58,4.07
5610,1.02,Premium,F,SI2,62.5,60.0,4459,6.36,6.43,4.0
5611,0.42,Ideal,F,VS1,60.9,57.0,1031,4.84,4.88,2.96
5612,0.4,Ideal,I,VVS2,62.0,57.0,758,4.73,4.75,2.94
5613,1.01,Good,G,SI1,63.6,57.0,4672,6.37,6.33,4.04
5614,0.33,Ideal,E,VS2,61.9,56.0,723,4.4,4.45,2.74
5615,0.34,Very Good,G,VS2,62.9,55.0,596,4.45,4.52,2.82
5616,0.52,Premium,G,VS2,62.0,58.0,1577,5.2,5.16,3.21
5617,0.91,Fair,E,VS2,61.8,66.0,4550,6.11,6.09,3.77
5618,1.01,Fair,E,SI1,64.7,59.0,4181,6.23,6.11,3.99
5619,0.41,Premium,E,VS1,60.1,58.0,1079,4.81,4.84,2.9
5620,0.7,Premium,G,VS2,60.8,58.0,2317,5.75,5.8,3.51
5621,2.09,Ideal,I,SI1,61.8,56.0,17114,8.15,8.22,5.06
5622,0.57,Good,G,VS2,64.1,55.0,1613,5.28,5.27,3.38
5623,0.55,Ideal,J,SI1,60.9,57.0,1100,5.24,5.3,3.21
5624,0.96,Ideal,I,VS2,59.8,57.0,3462,6.42,6.39,3.83
5625,0.91,Ideal,F,SI1,60.2,57.0,4108,6.29,6.34,3.8
5626,1.7,Ideal,G,VS2,62.9,55.0,15756,7.66,7.6,4.8
5627,0.54,Very Good,I,SI2,62.9,57.0,1105,5.18,5.21,3.27
5628,1.24,Premium,E,I1,61.1,62.0,3528,6.91,6.86,4.21
5629,0.91,Very Good,G,SI1,63.1,63.0,3445,6.16,6.11,3.87
5630,0.3,Ideal,F,VVS1,62.2,56.0,814,4.28,4.3,2.67
5631,0.72,Very Good,E,VVS2,59.3,60.0,3374,5.87,5.83,3.47
5632,0.31,Ideal,G,IF,61.0,56.0,924,4.37,4.39,2.67
5633,0.31,Premium,H,IF,61.7,58.0,1046,4.36,4.33,2.68
5634,2.01,Very Good,H,SI1,63.5,57.0,14725,7.96,7.88,5.03
5635,0.34,Ideal,H,VVS2,61.2,56.0,667,4.51,4.54,2.77
5636,1.14,Premium,F,SI1,61.1,59.0,5925,6.7,6.75,4.11
5637,0.53,Ideal,I,VS2,62.0,55.0,1236,5.16,5.19,3.21
5638,0.78,Very Good,E,VS1,61.5,60.0,3898,5.86,5.92,3.62
5639,0.71,Ideal,D,VS1,60.9,58.0,3716,5.72,5.78,3.5
5640,1.13,Very Good,F,SI1,61.0,58.0,5017,6.69,6.75,4.1
5641,1.03,Premium,G,VS2,62.3,57.0,6146,6.51,6.43,4.03
5642,0.71,Ideal,I,SI1,62.5,57.0,2218,5.69,5.74,3.57
5643,1.09,Ideal,F,SI1,62.0,56.0,5922,6.61,6.59,4.09
5644,1.11,Premium,I,SI2,61.5,58.0,4196,6.65,6.61,4.08
5645,0.4,Ideal,F,VS1,62.7,55.0,1050,4.76,4.74,2.98
5646,0.93,Very Good,G,SI2,60.8,62.0,3644,6.29,6.34,3.84
5647,0.92,Good,I,SI1,63.3,58.0,3382,6.14,6.18,3.9
5648,1.01,Very Good,D,SI2,60.5,58.0,4799,6.45,6.5,3.92
5649,0.41,Ideal,F,VVS2,62.5,56.0,1192,4.75,4.72,2.96
5650,0.32,Premium,E,SI2,62.4,58.0,576,4.4,4.35,2.73
5651,0.33,Ideal,D,VS2,62.5,55.0,781,4.41,4.45,2.77
5652,0.35,Ideal,E,SI1,61.2,57.0,788,4.56,4.52,2.78
5653,1.05,Very Good,F,VS2,62.8,57.0,6808,6.45,6.48,4.06
5654,0.33,Very Good,E,SI1,63.3,56.0,743,4.43,4.41,2.8
5655,0.38,Very Good,F,VS1,60.4,60.0,835,4.7,4.74,2.85
5656,1.27,Ideal,I,SI2,62.1,56.0,5154,6.92,6.96,4.31
5657,0.91,Ideal,G,SI1,61.8,57.0,4049,6.16,6.2,3.82
5658,0.31,Ideal,H,VVS1,62.7,54.0,707,4.33,4.38,2.73
5659,1.41,Premium,G,SI1,62.1,59.0,8572,7.23,7.13,4.46
5660,1.21,Ideal,F,VS2,61.3,56.0,9397,6.86,6.91,4.22
5661,0.32,Very Good,G,VVS1,61.9,58.0,842,4.36,4.39,2.71
5662,0.32,Premium,D,VS2,61.7,59.0,972,4.43,4.38,2.72
5663,1.7,Ideal,I,SI1,62.4,56.0,11228,7.68,7.64,4.78
5664,0.38,Ideal,E,VS2,61.7,54.3,853,4.68,4.69,2.89
5665,0.38,Premium,G,VS2,59.9,58.0,983,4.77,4.72,2.84
5666,2.04,Premium,H,SI1,58.0,59.0,14888,8.4,8.27,4.83
5667,0.31,Ideal,F,VVS2,61.2,56.0,716,4.4,4.43,2.7
5668,1.67,Ideal,F,VS2,61.8,57.0,17351,7.62,7.58,4.7
5669,1.13,Very Good,I,SI1,61.5,60.0,4766,6.68,6.72,4.12
5670,0.79,Very Good,D,SI2,62.8,59.0,2823,5.86,5.9,3.69
5671,1.64,Ideal,J,VS2,62.4,54.5,9251,7.53,7.57,4.71
5672,1.51,Very Good,I,SI2,63.5,60.0,7441,7.28,7.21,4.6
5673,0.9,Very Good,I,VS2,61.4,58.0,3445,6.16,6.26,3.81
5674,0.72,Ideal,D,VS1,61.6,56.0,3522,5.73,5.8,3.55
5675,0.36,Ideal,F,VS2,61.5,55.0,629,4.57,4.6,2.82
5676,0.7,Premium,D,VS1,61.2,60.0,3425,5.69,5.71,3.49
5677,1.53,Ideal,H,I1,62.3,56.0,6477,7.38,7.34,4.59
5678,0.78,Very Good,F,SI1,62.4,58.0,3045,5.83,5.86,3.65
5679,0.32,Very Good,E,SI1,60.4,61.0,524,4.39,4.42,2.66
5680,0.71,Premium,F,SI2,62.3,60.0,2169,5.7,5.67,3.54
5681,0.5,Premium,G,VS1,62.5,58.0,1746,5.11,5.07,3.18
5682,0.3,Ideal,G,IF,62.4,55.0,863,4.32,4.34,2.7
5683,1.52,Very Good,F,VS1,63.8,56.0,15819,7.25,7.3,4.64
5684,0.31,Very Good,H,VS2,63.5,57.0,628,4.34,4.32,2.75
5685,0.52,Good,H,VS2,63.6,57.0,1289,5.05,5.1,3.23
5686,1.12,Ideal,E,VS2,61.9,56.0,9710,6.65,6.68,4.13
5687,1.0,Very Good,G,SI1,59.3,63.0,4827,6.48,6.44,3.83
5688,0.75,Very Good,G,SI1,60.9,58.0,2545,5.84,5.88,3.57
5689,0.5,Premium,E,VS1,58.8,62.0,1698,5.17,5.14,3.03
5690,0.77,Ideal,H,VS2,62.0,56.0,2763,5.89,5.86,3.64
5691,0.33,Premium,G,VVS1,61.9,59.0,868,4.38,4.41,2.72
5692,0.7,Good,G,VS2,62.1,61.0,2367,5.68,5.69,3.53
5693,0.7,Premium,E,SI1,60.7,58.0,2703,5.74,5.73,3.48
5694,0.83,Ideal,E,VS1,62.2,56.0,5151,5.99,6.03,3.74
5695,0.31,Ideal,E,VS2,60.5,56.0,680,4.38,4.41,2.66
5696,0.31,Ideal,G,VVS2,62.1,54.0,677,4.37,4.39,2.72
5697,1.02,Good,H,SI1,63.5,58.0,4604,6.36,6.39,4.05
5698,1.01,Very Good,E,VVS1,62.3,56.0,10704,6.41,6.47,4.01
5699,1.51,Premium,G,VS1,62.5,58.0,13811,7.27,7.23,4.53
5700,0.31,Premium,G,VVS2,60.5,58.0,907,4.43,4.39,2.67
5701,1.07,Ideal,G,VS1,61.8,57.0,6917,6.58,6.52,4.05
5702,1.54,Ideal,G,I1,61.6,55.0,6186,7.4,7.43,4.57
5703,1.11,Good,G,SI2,59.7,61.0,5438,6.72,6.69,4.0
5704,0.7,Ideal,G,SI1,60.9,57.0,2394,5.77,5.79,3.52
5705,1.26,Ideal,I,SI1,62.6,57.0,6597,6.89,6.92,4.32
5706,1.47,Premium,G,SI2,61.8,58.0,7557,7.28,7.22,4.48
5707,1.5,Ideal,J,VVS1,62.2,59.0,9814,7.3,7.32,4.55
5708,0.35,Ideal,I,VVS1,61.6,55.0,628,4.55,4.58,2.81
5709,1.01,Premium,F,SI2,61.9,58.0,4676,6.39,6.34,3.94
5710,0.32,Ideal,E,VS2,62.0,57.0,702,4.39,4.41,2.73
5711,0.33,Ideal,G,VS2,62.0,57.0,743,4.47,4.44,2.76
5712,0.42,Ideal,H,VS2,62.1,54.0,760,4.82,4.84,3.0
5713,0.91,Premium,G,SI1,62.6,56.0,3763,6.21,6.16,3.87
5714,1.7,Very Good,J,SI1,63.2,57.0,9253,7.63,7.55,4.8
5715,1.02,Good,G,VVS1,63.6,58.0,8005,6.4,6.37,4.06
5716,2.04,Ideal,I,SI1,61.0,57.0,16718,8.18,8.21,5.0
5717,0.34,Ideal,E,VS2,62.4,54.0,956,4.49,4.48,2.8
5718,0.57,Very Good,I,SI1,63.3,56.0,1176,5.29,5.27,3.34
5719,0.65,Fair,I,VS2,65.1,55.6,1659,5.44,5.5,3.56
5720,1.22,Premium,E,SI2,61.5,58.0,6121,6.86,6.84,4.21
5721,0.9,Very Good,I,SI1,63.2,56.0,3120,6.15,6.12,3.88
5722,0.3,Ideal,H,VS2,61.9,57.0,491,4.28,4.31,2.66
5723,0.51,Ideal,D,VS2,61.6,56.0,1787,5.15,5.17,3.18
5724,0.31,Good,D,SI2,63.6,54.0,593,4.34,4.31,2.75
5725,0.32,Ideal,E,VS1,61.7,57.0,758,4.39,4.42,2.72
5726,0.64,Good,F,VS1,57.7,61.0,2222,5.68,5.75,3.29
5727,1.38,Very Good,F,IF,58.2,60.0,17598,7.32,7.39,4.28
5728,0.62,Ideal,G,SI1,61.6,56.0,1563,5.46,5.55,3.39
5729,0.55,Ideal,F,SI1,61.7,56.4,1598,5.26,5.3,3.25
5730,0.9,Good,G,VVS1,64.0,55.0,4382,6.05,6.02,3.86
5731,0.71,Premium,E,SI2,60.5,59.0,2340,5.78,5.75,3.49
5732,2.01,Fair,F,I1,58.7,66.0,7294,8.3,8.19,4.84
5733,1.04,Ideal,G,VS1,61.7,56.0,7951,6.47,6.52,4.01
5734,1.54,Very Good,G,SI2,61.5,61.0,8808,7.35,7.42,4.54
5735,1.01,Very Good,H,SI1,62.7,59.0,4242,6.27,6.33,3.95
5736,0.31,Premium,H,VVS1,61.9,58.0,907,4.34,4.32,2.68
5737,0.7,Ideal,G,VVS1,60.7,57.0,3303,5.73,5.76,3.49
5738,0.44,Ideal,D,VS1,61.6,56.0,1294,4.92,4.85,3.01
